Designation,ra,dec,type,confidence,variability_snr,W1_amp,W2_amp,n_obs,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,W1emag,W2emag,W3emag,W4emag,Jemag,Hemag,Kemag,Gmag,Gemag,BPmag,BPemag,RPmag,RPemag,period1,period2,period_significance,suspect_period,known_extragalactic,simbad_type,Plx,e_Plx,A0,AG,E(BP-RP),G_absmag,blended_source?,latent_artifact?,cluster_id
VarWISE J064037.56+114338.9,100.15651,11.7275,cep,1.0,10.315,0.131,0.127,258,8.511,8.448,8.37,8.02,9.6,9.03,8.79,0.02,0.02,0.02,0.26,0.02,0.03,0.02,11.810929,0.00962,12.68621,0.039179,10.814678,0.024484,4.97825,9.95645,23.869,False,False,ClassicalCep,0.2457,0.0197,2.6451,2.0454,1.1124,0.10286045,0.04,0.07,1675918814791594372
VarWISE J065843.63+130216.4,104.68182,13.0379,cep,0.8683,5.685,0.064,0.072,248,9.87,9.847,9.68,8.48,10.43,10.15,10.13,0.02,0.02,0.05,,0.02,0.02,0.02,10.978532,0.002943,11.089717,0.003544,10.746127,0.005735,2.626,5.25205,16.152,False,False,,1.1807,0.0172,0.7404,0.6957,0.3724,1.3541384,0.04,0.04,1676482523981135445
VarWISE J063435.29+130444.7,98.64706,13.0791,cep,0.9995,13.046,0.159,0.166,244,9.032,8.992,9.02,8.38,9.58,9.21,9.09,0.02,0.02,0.04,0.42,0.02,0.02,0.02,11.298126,0.012926,11.817418,0.048134,10.551524,0.034899,2.3082,4.616425,74.376,False,False,ClassicalCep,0.2324,0.0168,1.3875,1.145,0.6214,-0.54532623,0.04,0.09,1677607411433323705
VarWISE J063256.42+123319.8,98.23512,12.5555,cep,0.4006,13.739,0.296,0.473,244,12.99,12.908,12.16,8.78,13.4,13.23,13.14,0.03,0.04,,,0.02,0.03,0.03,14.491412,0.00347,14.811205,0.008206,13.98556,0.009696,382.0,52.57,15.554,True,False,,0.1739,0.024,,,,,0.04,0.07,1677607342311199021
VarWISE J064535.24+153235.8,101.39686,15.5433,cep,0.9637,6.83,0.087,0.095,257,11.087,11.029,10.8,8.37,11.64,11.26,11.17,0.02,0.02,0.13,,0.02,0.03,0.02,12.635549,0.003609,12.833158,0.003833,12.287864,0.012158,7.16035,3.58035,15.004,False,False,,0.9535,0.068,1.2692,1.1785,0.6352,1.084384,0.04,0.11,1678733772680027255
VarWISE J072701.12+195911.0,111.75468,19.9864,cep,0.9906,11.343,0.176,0.179,237,11.576,11.499,11.75,9.13,12.14,11.71,11.64,0.02,0.02,0.27,,0.02,0.02,0.02,13.320853,0.004454,13.565831,0.008587,12.840701,0.017381,7.07425,14.14855,20.936,False,False,EclBin,0.324,0.016,1.7399,1.599,0.866,1.5283384,0.04,0.09,1681268785220857576
VarWISE J065509.02+210035.2,103.7876,21.0098,cep,0.9615,7.732,0.116,0.1,236,11.526,11.463,11.55,8.87,12.29,11.77,11.56,0.02,0.02,0.23,,0.02,0.02,0.02,14.067089,0.009026,14.609761,0.027466,13.353177,0.023115,6.61025,3.305125,14.021,False,False,RSCVnV*,0.6083,0.022,0.8779,0.7039,0.3836,3.4892483,0.04,0.05,1682956298423535342
VarWISE J061822.91+174754.6,94.59548,17.7985,cep,0.9999,10.441,0.137,0.132,209,10.143,10.061,10.17,8.98,11.16,10.63,10.36,0.02,0.02,0.06,,0.02,0.02,0.02,13.882389,0.011227,14.918863,0.041102,12.843839,0.02686,2.521875,5.04365,30.72,False,False,ClassicalCep,0.1576,0.0219,,,,,0.04,0.1,1684925081082070111
VarWISE J063831.71+200520.7,99.63214,20.0891,cep,0.977,8.587,0.11,0.093,258,9.739,9.71,9.57,8.7,10.54,10.01,9.9,0.02,0.02,0.06,,0.02,0.02,0.02,11.81244,0.003533,12.166155,0.006205,11.286654,0.008547,5.97945,11.9578,13.718,False,False,SB*,0.6365,0.0151,1.0132,0.8777,0.4753,0.81571674,0.04,0.16,1685770350996663013
VarWISE J063519.17+211748.1,98.8299,21.2967,cep,0.9996,5.857,0.075,0.067,230,9.526,9.492,9.3,8.02,9.99,9.67,9.57,0.02,0.02,0.06,,0.02,0.02,0.02,11.288619,0.0072,11.678559,0.026128,10.719989,0.015765,1.512325,3.02465,21.04,False,False,ClassicalCep,0.3116,0.0257,0.2129,0.1746,0.0956,-0.9354782,0.04,0.03,1686333166380022713
